Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;XRRigPosition;CameraPosition;GazeHitObject;GazeHitPosition
1054040;1000006175467706352;63789510882236;(-3.297, 0.937, 3.420);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054059;1000006175562741280;63789510882336;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054080;1000006175667777132;63789510882437;(-3.298, 0.936, 3.423);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054099;1000006175762815577;63789510882536;(-3.298, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054121;1000006175872856567;63789510882648;(-3.298, 0.936, 3.423);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054140;1000006175967889858;63789510882737;(-3.298, 0.936, 3.425);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054159;1000006176062929025;63789510882836;(-3.298, 0.935, 3.425);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054180;1000006176167969164;63789510882937;(-3.298, 0.936, 3.425);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054199;1000006176263003128;63789510883036;(-3.297, 0.936, 3.424);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054221;1000006176373048854;63789510883148;(-3.297, 0.936, 3.424);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054240;1000006176468085783;63789510883237;(-3.298, 0.937, 3.422);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054259;1000006176563120620;63789510883337;(-3.297, 0.936, 3.423);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054280;1000006176668156239;63789510883437;(-3.297, 0.937, 3.422);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054299;1000006176763194295;63789510883537;(-3.298, 0.937, 3.422);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054321;1000006176873234956;63789510883648;(-3.298, 0.937, 3.421);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054340;1000006176968267694;63789510883737;(-3.298, 0.937, 3.421);(-0.009, -0.664, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054358;1000006177058305494;63789510883825;(-3.297, 0.937, 3.420);(-0.009, -0.664, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054380;1000006177168347003;63789510883937;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054399;1000006177263380643;63789510884037;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054421;1000006177373425846;63789510884148;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054440;1000006177468462499;63789510884237;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054458;1000006177558495135;63789510884325;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054480;1000006177668531956;63789510884436;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054499;1000006177763569848;63789510884536;(-3.298, 0.937, 3.420);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054521;1000006177873610700;63789510884647;(-3.298, 0.937, 3.421);(-0.009, -0.664, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
