Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5860045;1000114194428655569;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.006, 0.999);(0.000, 0.000, 0.000);VALID;(0.029, -0.002, 1.000);(-0.034, 0.000, 0.000);0.06408712;VALID;(-0.093, -0.010, 0.996);(0.034, 0.000, 0.000);0.06217647;0.5477327;0.5928411;None;(0.000, 0.000, 0.000)
5860046;1000114194433659223;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.007, 0.999);(0.000, 0.000, 0.000);VALID;(0.027, -0.003, 1.000);(-0.034, 0.000, 0.000);0.06423591;VALID;(-0.091, -0.012, 0.996);(0.034, 0.000, 0.000);0.06216601;0.5675996;0.5908597;None;(0.000, 0.000, 0.000)
5860047;1000114194438662865;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.008, 0.999);(0.000, 0.000, 0.000);VALID;(0.023, -0.004, 1.000);(-0.034, 0.000, 0.000);0.06435201;VALID;(-0.089, -0.013, 0.996);(0.034, 0.000, 0.000);0.06214322;0.5950956;0.537648;None;(0.000, 0.000, 0.000)
5860048;1000114194443666494;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.009, 0.999);(0.000, 0.000, 0.000);VALID;(0.017, -0.005, 1.000);(-0.034, 0.000, 0.000);0.06428771;VALID;(-0.087, -0.014, 0.996);(0.034, 0.000, 0.000);0.06216313;0.6346022;0.5089266;None;(0.000, 0.000, 0.000)
5860049;1000114194448666649;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.011, 0.999);(0.000, 0.000, 0.000);VALID;(0.012, -0.007, 1.000);(-0.034, 0.000, 0.000);0.06435888;VALID;(-0.087, -0.014, 0.996);(0.034, 0.000, 0.000);0.06220753;0.6738495;0.529118;None;(0.000, 0.000, 0.000)
5860050;1000114194453666939;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.012, 0.999);(0.000, 0.000, 0.000);VALID;(0.007, -0.009, 1.000);(-0.034, 0.000, 0.000);0.06419946;VALID;(-0.086, -0.015, 0.996);(0.034, 0.000, 0.000);0.06201039;0.7170491;0.5571456;None;(0.000, 0.000, 0.000)
5860051;1000114194458667364;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.036, -0.013, 0.999);(0.000, 0.000, 0.000);VALID;(0.003, -0.011, 1.000);(-0.034, 0.000, 0.000);0.06441189;VALID;(-0.086, -0.015, 0.996);(0.034, 0.000, 0.000);0.0618895;0.7578253;0.5621465;None;(0.000, 0.000, 0.000)
5860052;1000114194463667868;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.037, -0.013, 0.999);(0.000, 0.000, 0.000);VALID;(-0.001, -0.012, 1.000);(-0.034, 0.000, 0.000);0.06443165;VALID;(-0.085, -0.015, 0.996);(0.034, 0.000, 0.000);0.06187874;0.7957997;0.6205449;None;(0.000, 0.000, 0.000)
5860053;1000114194468668371;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.038, -0.014, 0.999);(0.000, 0.000, 0.000);VALID;(-0.004, -0.013, 1.000);(-0.034, 0.000, 0.000);0.06451227;VALID;(-0.085, -0.016, 0.996);(0.034, 0.000, 0.000);0.06164188;0.8321796;0.6249609;None;(0.000, 0.000, 0.000)
5860054;1000114194473668871;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.039, -0.015, 0.999);(0.000, 0.000, 0.000);VALID;(-0.007, -0.014, 1.000);(-0.034, 0.000, 0.000);0.06453254;VALID;(-0.085, -0.016, 0.996);(0.034, 0.000, 0.000);0.06139288;0.8576686;0.6312561;None;(0.000, 0.000, 0.000)
5860055;1000114194478669370;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.040, -0.015, 0.999);(0.000, 0.000, 0.000);VALID;(-0.009, -0.014, 1.000);(-0.034, 0.000, 0.000);0.064459;VALID;(-0.084, -0.017, 0.996);(0.034, 0.000, 0.000);0.06130778;0.8926123;0.6439658;None;(0.000, 0.000, 0.000)
5860056;1000114194483669867;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.042, -0.016, 0.999);(0.000, 0.000, 0.000);VALID;(-0.011, -0.015, 1.000);(-0.034, 0.000, 0.000);0.06450388;VALID;(-0.084, -0.017, 0.996);(0.034, 0.000, 0.000);0.06100367;0.9245614;0.6818674;None;(0.000, 0.000, 0.000)
5860057;1000114194488670363;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.043, -0.017, 0.999);(0.000, 0.000, 0.000);VALID;(-0.013, -0.015, 1.000);(-0.034, 0.000, 0.000);0.06460904;VALID;(-0.084, -0.018, 0.996);(0.034, 0.000, 0.000);0.0608169;0.9511195;0.697144;None;(0.000, 0.000, 0.000)
5860058;1000114194493670830;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.043, -0.017, 0.999);(0.000, 0.000, 0.000);VALID;(-0.014, -0.015, 1.000);(-0.034, 0.000, 0.000);0.06463577;VALID;(-0.083, -0.018, 0.996);(0.034, 0.000, 0.000);0.0607891;0.9709679;0.6956205;None;(0.000, 0.000, 0.000)
5860059;1000114194498674598;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.044, -0.017, 0.999);(0.000, 0.000, 0.000);VALID;(-0.015, -0.015, 1.000);(-0.034, 0.000, 0.000);0.06472142;VALID;(-0.083, -0.019, 0.996);(0.034, 0.000, 0.000);0.06068188;0.992145;0.7102041;None;(0.000, 0.000, 0.000)
5860060;1000114194503678216;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.045, -0.017, 0.999);(0.000, 0.000, 0.000);VALID;(-0.016, -0.015, 1.000);(-0.034, 0.000, 0.000);0.06466895;VALID;(-0.082, -0.019, 0.996);(0.034, 0.000, 0.000);0.06069575;1.005028;0.7172379;None;(0.000, 0.000, 0.000)
